"","GeneID","Chr","Start","End","Strand","Length"
"1535","gene-YEL043W","NC_001137.3","70478","73348","+",2871
"1536","gene-YEL044W","NC_001137.3","69757","70257","+",501
"1537","gene-YEL046C","NC_001137.3","67629","68792","-",1164
"1538","gene-YEL047C","NC_001137.3","65385","66797","-",1413
"1539","gene-YEL048C","NC_001137.3","64709","65167","-",459
"1540","gene-YEL049W","NC_001137.3","63728","64090","+",363
"1541","gene-YEL050C","NC_001137.3","59670","60851","-",1182
"1542","gene-YEL051W","NC_001137.3","58378","59148","+",771
"1543","gene-YEL052W","NC_001137.3","56571","58100","+",1530
"1544","gene-YEL053C","NC_001137.3","53901","56102","-",2202
"1545","gene-YEL054C","NC_001137.3","52721","53218","-",498
"1546","gene-YEL055C","NC_001137.3","48471","51539","-",3069
"1547","gene-YEL056W","NC_001137.3","47168","48373","+",1206
"1548","gene-YEL057C","NC_001137.3","45020","45721","-",702
"1549","gene-YEL058W","NC_001137.3","43252","44925","+",1674
"1550","gene-YEL059C-A","NC_001137.3","42400","42624","-",225
"1551","gene-YEL060C","NC_001137.3","40046","41953","-",1908
"1552","gene-YEL061C","NC_001137.3","36535","39537","-",3003
"1553","gene-YEL062W","NC_001137.3","34407","36254","+",1848
"1554","gene-YEL063C","NC_001137.3","31694","33466","-",1773
"1555","gene-YEL064C","NC_001137.3","29797","31239","-",1443
"1556","gene-YEL065W","NC_001137.3","27657","29543","+",1887
"1557","gene-YEL066W","NC_001137.3","26667","27206","+",540
"1558","gene-YEL067C","NC_001137.3","26189","26776","-",588
"1559","gene-YEL068C","NC_001137.3","25646","25978","-",333
"1560","gene-YEL069C","NC_001137.3","21537","23231","-",1695
"1561","gene-YEL070W","NC_001137.3","19589","21097","+",1509
"1562","gene-YEL071W","NC_001137.3","16355","17845","+",1491
"1563","gene-YEL072W","NC_001137.3","13720","14415","+",696
"1564","gene-YEL073C","NC_001137.3","7230","7553","-",324
"1565","gene-YEL075C","NC_001137.3","5345","5713","-",369
"1566","gene-YEL076C","NC_001137.3","4464","5114","-",651
"1567","gene-YEL076C-A","NC_001137.3;NC_001137.3","4185;4602","4322;5114","-;-",651
"1568","gene-YEL077C","NC_001137.3","264","4097","-",3834
"1569","gene-YER001W","NC_001137.3","153520","155808","+",2289
"1570","gene-YER002W","NC_001137.3","156803","157498","+",696
"1571","gene-YER003C","NC_001137.3;NC_001137.3","157736;159088","158994;159118","-;-",1290
"1572","gene-YER004W","NC_001137.3","159580","160275","+",696
"1573","gene-YER005W","NC_001137.3","160550","162442","+",1893
"1574","gene-YER006W","NC_001137.3","162723","164285","+",1563
"1575","gene-YER007C-A","NC_001137.3;NC_001137.3","166237;166875","166771;166885","-;-",546
"1576","gene-YER007W","NC_001137.3","164527","166083","+",1557
"1577","gene-YER008C","NC_001137.3","167808","171818","-",4011
"1578","gene-YER009W","NC_001137.3","172115","172492","+",378
"1579","gene-YER010C","NC_001137.3","172634","173338","-",705
"1580","gene-YER011W","NC_001137.3","175248","176012","+",765
"1581","gene-YER012W","NC_001137.3","177835","178431","+",597
"1582","gene-YER013W","NC_001137.3","178841","182278","+",3438
"1583","gene-YER014C-A","NC_001137.3;NC_001137.3","183731;184678","184169;184700","-;-",462
"1584","gene-YER014W","NC_001137.3","182600","184219","+",1620
"1585","gene-YER015W","NC_001137.3","184541","186775","+",2235
"1586","gene-YER016W","NC_001137.3","188277","189311","+",1035
"1587","gene-YER017C","NC_001137.3","189503","191788","-",2286
"1588","gene-YER018C","NC_001137.3","191959","192624","-",666
"1589","gene-YER019C-A","NC_001137.3","194273","194539","-",267
"1590","gene-YER019W","NC_001137.3","192797","194230","+",1434
"1591","gene-YER020W","NC_001137.3","195168","196517","+",1350
"1592","gene-YER021W","NC_001137.3","196948","198519","+",1572
"1593","gene-YER022W","NC_001137.3","198812","200875","+",2064
"1594","gene-YER023W","NC_001137.3","201076","201936","+",861
"1595","gene-YER024W","NC_001137.3","202192","204963","+",2772
"1596","gene-YER025W","NC_001137.3","205251","206834","+",1584
"1597","gene-YER026C","NC_001137.3","207644","208474","-",831
"1598","gene-YER027C","NC_001137.3","208979","210232","-",1254
"1599","gene-YER028C","NC_001137.3","210692","211876","-",1185
"1600","gene-YER029C","NC_001137.3","212587","213177","-",591
"1601","gene-YER030W","NC_001137.3","213437","213898","+",462
"1602","gene-YER031C","NC_001137.3","214076","214747","-",672
"1603","gene-YER032W","NC_001137.3","215063","217693","+",2631
"1604","gene-YER033C","NC_001137.3","218057","221287","-",3231
"1605","gene-YER034W","NC_001137.3","221846","222403","+",558
"1606","gene-YER035W","NC_001137.3","222639","223076","+",438
"1607","gene-YER036C","NC_001137.3","223367","225199","-",1833
"1608","gene-YER037W","NC_001137.3","225889","226854","+",966
"1609","gene-YER038C","NC_001137.3","226858","228252","-",1395
"1610","gene-YER038W-A","NC_001137.3","228451","228831","+",381
"1611","gene-YER039C","NC_001137.3","228456","229205","-",750
"1612","gene-YER039C-A","NC_001137.3","229263","229481","-",219
"1613","gene-YER040W","NC_001137.3","229795","231987","+",2193
"1614","gene-YER041W","NC_001137.3","232461","234740","+",2280
"1615","gene-YER042W","NC_001137.3","234937","235491","+",555
"1616","gene-YER043C","NC_001137.3","235770","237119","-",1350
"1617","gene-YER044C","NC_001137.3","237570","238016","-",447
"1618","gene-YER044C-A","NC_001137.3;NC_001137.3","238460;239712","239623;239774","-;-",1227
"1619","gene-YER045C","NC_001137.3","240032","241501","-",1470
"1620","gene-YER046W","NC_001137.3","243180","243611","+",432
"1621","gene-YER047C","NC_001137.3","243810","246503","-",2694
"1622","gene-YER048C","NC_001137.3","246982","248157","-",1176
"1623","gene-YER048W-A","NC_001137.3","250718","251002","+",285
"1624","gene-YER049W","NC_001137.3","251728","253662","+",1935
"1625","gene-YER050C","NC_001137.3","253971","254387","-",417
"1626","gene-YER051W","NC_001137.3","254656","256134","+",1479
"1627","gene-YER052C","NC_001137.3","256375","257958","-",1584
"1628","gene-YER053C","NC_001137.3","258737","259639","-",903
"1629","gene-YER053C-A","NC_001137.3","260933","261046","-",114
"1630","gene-YER054C","NC_001137.3","262052","263698","-",1647
"1631","gene-YER055C","NC_001137.3","264892","265785","-",894
"1632","gene-YER056C","NC_001137.3","266512","268113","-",1602
"1633","gene-YER056C-A","NC_001137.3;NC_001137.3","269423;270149","269751;270185","-;-",366
"1634","gene-YER057C","NC_001137.3","270737","271126","-",390
"1635","gene-YER058W","NC_001137.3","271768","272091","+",324
"1636","gene-YER059W","NC_001137.3","272624","273886","+",1263
"1637","gene-YER060W","NC_001137.3","274567","276153","+",1587
"1638","gene-YER060W-A","NC_001137.3","276572","278164","+",1593
"1639","gene-YER061C","NC_001137.3","278298","279626","-",1329
"1640","gene-YER062C","NC_001137.3","279930","280682","-",753
"1641","gene-YER063W","NC_001137.3","281710","282366","+",657
"1642","gene-YER064C","NC_001137.3","282705","284222","-",1518
"1643","gene-YER065C","NC_001137.3","285241","286914","-",1674
"1644","gene-YER066W","NC_001137.3","290242","290799","+",558
"1645","gene-YER067W","NC_001137.3","292066","292551","+",486
"1646","gene-YER068W","NC_001137.3","293050","294813","+",1764
"1647","gene-YER069W","NC_001137.3","295410","298001","+",2592
"1648","gene-YER070W","NC_001137.3","298950","301616","+",2667
"1649","gene-YER071C","NC_001137.3","301947","302327","-",381
"1650","gene-YER072W","NC_001137.3","302806","303195","+",390
"1651","gene-YER073W","NC_001137.3","304030","305592","+",1563
"1652","gene-YER074W","NC_001137.3;NC_001137.3","306323;306792","306325;307196","+;+",408
"1653","gene-YER074W-A","NC_001137.3;NC_001137.3;NC_001137.3","307653;307849;308068","307746;307956;308123","+;+;+",258
"1654","gene-YER075C","NC_001137.3","308413","311199","-",2787
"1655","gene-YER076C","NC_001137.3","312590","313498","-",909
"1656","gene-YER077C","NC_001137.3","314534","316600","-",2067
"1657","gene-YER078C","NC_001137.3","316807","318342","-",1536
"1658","gene-YER078W-A","NC_001137.3","318646","318810","+",165
"1659","gene-YER079W","NC_001137.3","318920","319552","+",633
"1660","gene-YER080W","NC_001137.3","319963","321846","+",1884
"1661","gene-YER081W","NC_001137.3","322686","324095","+",1410
"1662","gene-YER082C","NC_001137.3","324272","325936","-",1665
"1663","gene-YER083C","NC_001137.3","326174","327031","-",858
"1664","gene-YER084W","NC_001137.3","327065","327451","+",387
"1665","gene-YER085C","NC_001137.3","327619","328140","-",522
"1666","gene-YER086W","NC_001137.3","328477","330207","+",1731
"1667","gene-YER087C-B","NC_001137.3","332582","332830","-",249
"1668","gene-YER087W","NC_001137.3","330576","332306","+",1731
"1669","gene-YER088C","NC_001137.3","333176","335188","-",2013
"1670","gene-YER089C","NC_001137.3","335946","337340","-",1395
"1671","gene-YER090W","NC_001137.3","337949","339472","+",1524
"1672","gene-YER091C","NC_001137.3","339864","342167","-",2304
"1673","gene-YER092W","NC_001137.3","342855","343232","+",378
"1674","gene-YER093C","NC_001137.3","343320","347612","-",4293
"1675","gene-YER093C-A","NC_001137.3;NC_001137.3","347912;348277","348201;348400","-;-",414
"1676","gene-YER094C","NC_001137.3","348729","349346","-",618
"1677","gene-YER095W","NC_001137.3","349980","351182","+",1203
"1678","gene-YER096W","NC_001137.3","351698","353236","+",1539
"1679","gene-YER098W","NC_001137.3","355466","357730","+",2265
"1680","gene-YER099C","NC_001137.3","358105","359061","-",957
"1681","gene-YER100W","NC_001137.3","359562","360314","+",753
"1682","gene-YER101C","NC_001137.3","360502","361794","-",1293
"1683","gene-YER102W","NC_001137.3","363100","363702","+",603
"1684","gene-YER103W","NC_001137.3","364589","366517","+",1929
"1685","gene-YER104W","NC_001137.3","366802","367428","+",627
"1686","gene-YER105C","NC_001137.3","367838","372013","-",4176
"1687","gene-YER106W","NC_001137.3","372326","373234","+",909
"1688","gene-YER107C","NC_001137.3","373448","374545","-",1098
"1689","gene-YER110C","NC_001137.3","378762","382103","-",3342
"1690","gene-YER111C","NC_001137.3","382595","385876","-",3282
"1691","gene-YER112W","NC_001137.3","387232","387795","+",564
"1692","gene-YER113C","NC_001137.3","387932","390052","-",2121
"1693","gene-YER114C","NC_001137.3","390590","393712","-",3123
"1694","gene-YER115C","NC_001137.3","394292","394867","-",576
"1695","gene-YER116C","NC_001137.3","395348","396172","-",825
"1696","gene-YER117W","NC_001137.3;NC_001137.3","396769;397282","396810;397653","+;+",414
"1697","gene-YER118C","NC_001137.3","397952","399055","-",1104
"1698","gene-YER119C","NC_001137.3","399496","400842","-",1347
"1699","gene-YER120W","NC_001137.3","401135","401869","+",735
"1700","gene-YER121W","NC_001137.3","402375","402719","+",345
"1701","gene-YER122C","NC_001137.3","402871","404352","-",1482
"1702","gene-YER123W","NC_001137.3","404813","406387","+",1575
"1703","gene-YER124C","NC_001137.3","407342","409063","-",1722
"1704","gene-YER125W","NC_001137.3","410189","412618","+",2430
"1705","gene-YER126C","NC_001137.3","413394","414179","-",786
"1706","gene-YER127W","NC_001137.3","414481","415554","+",1074
"1707","gene-YER128W","NC_001137.3","415859","416470","+",612
"1708","gene-YER129W","NC_001137.3","417281","420709","+",3429
"1709","gene-YER130C","NC_001137.3","421115","422446","-",1332
"1710","gene-YER131W","NC_001137.3","423952","424311","+",360
"1711","gene-YER132C","NC_001137.3","425188","430449","-",5262
"1712","gene-YER133W","NC_001137.3;NC_001137.3","432495;433197","432671;433958","+;+",939
"1713","gene-YER134C","NC_001137.3","437267","437803","-",537
"1714","gene-YER135C","NC_001137.3","437952","438344","-",393
"1715","gene-YER136W","NC_001137.3","439616","440971","+",1356
"1716","gene-YER137C","NC_001137.3","441373","441819","-",447
"1717","gene-YER137C-A","NC_001137.3","447702","449024","-",1323
"1718","gene-YER138C","NC_001137.3","443756","449024","-",5269
"1719","gene-YER138W-A","NC_001137.3","449474","449578","+",105
"1720","gene-YER139C","NC_001137.3","450563","451243","-",681
"1721","gene-YER140W","NC_001137.3","451565","453235","+",1671
"1722","gene-YER141W","NC_001137.3","453459","454919","+",1461
"1723","gene-YER142C","NC_001137.3","455146","456036","-",891
"1724","gene-YER143W","NC_001137.3","456319","457605","+",1287
"1725","gene-YER144C","NC_001137.3","457806","460223","-",2418
"1726","gene-YER145C","NC_001137.3","460526","461740","-",1215
"1727","gene-YER145C-A","NC_001137.3","462386","462823","-",438
"1728","gene-YER146W","NC_001137.3","462585","462866","+",282
"1729","gene-YER147C","NC_001137.3","462968","464842","-",1875
"1730","gene-YER148W","NC_001137.3","465303","466025","+",723
"1731","gene-YER149C","NC_001137.3","466208","467470","-",1263
"1732","gene-YER150W","NC_001137.3","468370","468816","+",447
"1733","gene-YER151C","NC_001137.3","469686","472424","-",2739
"1734","gene-YER152C","NC_001137.3","472657","473988","-",1332
"1735","gene-YER153C","NC_001137.3","474041","474805","-",765
"1736","gene-YER154W","NC_001137.3","475020","476228","+",1209
"1737","gene-YER155C","NC_001137.3","476345","482848","-",6504
"1738","gene-YER156C","NC_001137.3","483325","484341","-",1017
"1739","gene-YER157W","NC_001137.3","484788","487193","+",2406
"1740","gene-YER158C","NC_001137.3","488857","490578","-",1722
"1741","gene-YER159C","NC_001137.3","491530","491958","-",429
"1742","gene-YER159C-A","NC_001137.3","496802","498124","-",1323
"1743","gene-YER160C","NC_001137.3","492856","498124","-",5269
"1744","gene-YER161C","NC_001137.3","499347","500348","-",1002
"1745","gene-YER162C","NC_001137.3","500630","502894","-",2265
"1746","gene-YER163C","NC_001137.3","503084","503782","-",699
"1747","gene-YER164W","NC_001137.3","505392","509798","+",4407
"1748","gene-YER165W","NC_001137.3","510373","512106","+",1734
"1749","gene-YER166W","NC_001137.3","512744","517459","+",4716
"1750","gene-YER167W","NC_001137.3","518216","520771","+",2556
"1751","gene-YER168C","NC_001137.3","521029","522669","-",1641
"1752","gene-YER169W","NC_001137.3","523369","525759","+",2391
"1753","gene-YER170W","NC_001137.3","525974","526651","+",678
"1754","gene-YER171W","NC_001137.3","527082","529418","+",2337
"1755","gene-YER172C","NC_001137.3","529530","536021","-",6492
"1756","gene-YER173W","NC_001137.3","536300","538279","+",1980
"1757","gene-YER174C","NC_001137.3","538434","539168","-",735
"1758","gene-YER175C","NC_001137.3","539464","540363","-",900
"1759","gene-YER175W-A","NC_001137.3","540650","540814","+",165
"1760","gene-YER176W","NC_001137.3","541690","545055","+",3366
"1761","gene-YER177W","NC_001137.3","545611","546414","+",804
"1762","gene-YER178W","NC_001137.3","546817","548079","+",1263
"1763","gene-YER179W","NC_001137.3;NC_001137.3","548421;548645","548552;549517","+;+",1005
"1764","gene-YER180C","NC_001137.3","549724","550527","-",804
"1765","gene-YER180C-A","NC_001137.3","550865","551122","-",258
"1766","gene-YER181C","NC_001137.3","551473","551796","-",324
"1767","gene-YER182W","NC_001137.3","552525","553259","+",735
"1768","gene-YER183C","NC_001137.3","553334","553969","-",636
"1769","gene-YER184C","NC_001137.3","556296","558680","-",2385
"1770","gene-YER185W","NC_001137.3","559454","560365","+",912
"1771","gene-YER186C","NC_001137.3","561705","562625","-",921
"1772","gene-YER187W","NC_001137.3","566230","566655","+",426
"1773","gene-YER188C-A","NC_001137.3","569608","569907","-",300
"1774","gene-YER188W","NC_001137.3","568040","568759","+",720
"1775","gene-YER189W","NC_001137.3","571155","571523","+",369
"1776","gene-YER190C-B","NC_001137.3","575680","576162","-",483
"1777","gene-YER190W","NC_001137.3","571480","576525","+",5046
"1778","gene-YFL001W","NC_001138.5","147131","148459","+",1329
"1779","gene-YFL002C","NC_001138.5","145114","146934","-",1821
"1780","gene-YFL002W-A","NC_001138.5","138204","143517","+",5314
"1781","gene-YFL002W-B","NC_001138.5","138204","139520","+",1317
"1782","gene-YFL003C","NC_001138.5","134521","137157","-",2637
"1783","gene-YFL004W","NC_001138.5","131810","134296","+",2487
"1784","gene-YFL005W","NC_001138.5","130334","130981","+",648
"1785","gene-YFL007W","NC_001138.5","123479","129910","+",6432
"1786","gene-YFL008W","NC_001138.5","119429","123106","+",3678
"1787","gene-YFL009W","NC_001138.5","116145","118484","+",2340
"1788","gene-YFL010C","NC_001138.5","115108","115743","-",636
"1789","gene-YFL010W-A","NC_001138.5","114990","115274","+",285
"1790","gene-YFL011W","NC_001138.5","112345","113985","+",1641
"1791","gene-YFL012W","NC_001138.5","110647","111093","+",447
"1792","gene-YFL013C","NC_001138.5","107852","109930","-",2079
"1793","gene-YFL014W","NC_001138.5","107256","107585","+",330
"1794","gene-YFL015C","NC_001138.5","106469","106963","-",495
"1795","gene-YFL016C","NC_001138.5","104701","106236","-",1536
"1796","gene-YFL017C","NC_001138.5","103983","104462","-",480
"1797","gene-YFL017W-A","NC_001138.5","103699","103932","+",234
"1798","gene-YFL018C","NC_001138.5","101628","103127","-",1500
"1799","gene-YFL019C","NC_001138.5","100252","100605","-",354
"1800","gene-YFL020C","NC_001138.5","99231","99599","-",369
"1801","gene-YFL021W","NC_001138.5","95966","97498","+",1533
"1802","gene-YFL022C","NC_001138.5","93499","95010","-",1512
"1803","gene-YFL023W","NC_001138.5","90986","93376","+",2391
"1804","gene-YFL024C","NC_001138.5","87847","90345","-",2499
"1805","gene-YFL025C","NC_001138.5","84145","87234","-",3090
"1806","gene-YFL026W","NC_001138.5","82580","83875","+",1296
"1807","gene-YFL027C","NC_001138.5","80419","81912","-",1494
"1808","gene-YFL028C","NC_001138.5","79344","80213","-",870
"1809","gene-YFL029C","NC_001138.5","78055","79161","-",1107
"1810","gene-YFL030W","NC_001138.5","76831","77988","+",1158
"1811","gene-YFL031W","NC_001138.5;NC_001138.5","75179;76092","75839;76147","+;+",717
"1812","gene-YFL033C","NC_001138.5","69115","74427","-",5313
"1813","gene-YFL034C-A","NC_001138.5;NC_001138.5","64243;64921","64599;64932","-;-",369
"1814","gene-YFL034C-B","NC_001138.5;NC_001138.5","63016;63974","63859;63993","-;-",864
"1815","gene-YFL034W","NC_001138.5","65477","68698","+",3222
"1816","gene-YFL036W","NC_001138.5","58782","62837","+",4056
"1817","gene-YFL037W","NC_001138.5","56336","57709","+",1374
"1818","gene-YFL038C","NC_001138.5","55366","55986","-",621
"1819","gene-YFL039C","NC_001138.5;NC_001138.5","53260;54687","54377;54696","-;-",1128
"1820","gene-YFL040W","NC_001138.5","51350","52972","+",1623
"1821","gene-YFL041W","NC_001138.5","49139","51007","+",1869
"1822","gene-YFL041W-A","NC_001138.5","48734","48925","+",192
"1823","gene-YFL042C","NC_001138.5","45720","47744","-",2025
"1824","gene-YFL044C","NC_001138.5","44655","45560","-",906
"1825","gene-YFL045C","NC_001138.5","43628","44392","-",765
"1826","gene-YFL046W","NC_001138.5","42815","43438","+",624
"1827","gene-YFL047W","NC_001138.5","40421","42565","+",2145
"1828","gene-YFL048C","NC_001138.5","38843","40180","-",1338
"1829","gene-YFL049W","NC_001138.5","36803","38674","+",1872
"1830","gene-YFL050C","NC_001138.5","33272","35848","-",2577
"1831","gene-YFL051C","NC_001138.5","30058","30540","-",483
"1832","gene-YFL052W","NC_001138.5","28232","29629","+",1398
"1833","gene-YFL053W","NC_001138.5","23423","25198","+",1776
"1834","gene-YFL054C","NC_001138.5","20847","22787","-",1941
"1835","gene-YFL055W","NC_001138.5","17004","18680","+",1677
"1836","gene-YFL056C","NC_001138.5","14305","15431","-",1127
"1837","gene-YFL058W","NC_001138.5","12929","13951","+",1023
"1838","gene-YFL059W","NC_001138.5","11363","12259","+",897
"1839","gene-YFL060C","NC_001138.5","10301","10969","-",669
"1840","gene-YFL061W","NC_001138.5","9545","10222","+",678
"1841","gene-YFL062W","NC_001138.5","6426","7565","+",1140
"1842","gene-YFL064C","NC_001138.5","3322","3846","-",525
"1843","gene-YFL065C","NC_001138.5","3030","3338","-",309
"1844","gene-YFL066C","NC_001138.5","1437","2615","-",1179
"1845","gene-YFL067W","NC_001138.5","836","1363","+",528
"1846","gene-YFL068W","NC_001138.5","53","535","+",483
"1847","gene-YFR001W","NC_001138.5","149110","149724","+",615
"1848","gene-YFR002W","NC_001138.5","150016","152535","+",2520
"1849","gene-YFR003C","NC_001138.5","152657","153124","-",468
"1850","gene-YFR004W","NC_001138.5","153393","154313","+",921
"1851","gene-YFR005C","NC_001138.5","154527","155873","-",1347
"1852","gene-YFR006W","NC_001138.5","156145","157752","+",1608
"1853","gene-YFR007W","NC_001138.5","159299","160360","+",1062
"1854","gene-YFR008W","NC_001138.5","160535","161200","+",666
"1855","gene-YFR009W","NC_001138.5","162488","164746","+",2259
"1856","gene-YFR010W","NC_001138.5","165067","166566","+",1500
"1857","gene-YFR011C","NC_001138.5","166746","167258","-",513
"1858","gene-YFR012W","NC_001138.5","167888","168496","+",609
"1859","gene-YFR012W-A","NC_001138.5","169224","169310","+",87
"1860","gene-YFR013W","NC_001138.5","169922","172285","+",2364
"1861","gene-YFR014C","NC_001138.5","172537","173877","-",1341
"1862","gene-YFR015C","NC_001138.5","174265","176391","-",2127
"1863","gene-YFR016C","NC_001138.5","177042","180743","-",3702
"1864","gene-YFR017C","NC_001138.5","182274","182861","-",588
"1865","gene-YFR018C","NC_001138.5","183131","184222","-",1092
"1866","gene-YFR019W","NC_001138.5","184502","191338","+",6837
"1867","gene-YFR020W","NC_001138.5","192737","193435","+",699
"1868","gene-YFR021W","NC_001138.5","194812","196314","+",1503
"1869","gene-YFR022W","NC_001138.5","196833","199034","+",2202
"1870","gene-YFR023W","NC_001138.5","199874","201709","+",1836
"1871","gene-YFR024C-A","NC_001138.5;NC_001138.5","201960;203387","203292;203433","-;-",1380
"1872","gene-YFR025C","NC_001138.5","203743","204750","-",1008
"1873","gene-YFR026C","NC_001138.5","205748","206257","-",510
"1874","gene-YFR027W","NC_001138.5","207452","208297","+",846
"1875","gene-YFR028C","NC_001138.5","208413","210068","-",1656
"1876","gene-YFR029W","NC_001138.5","210937","212973","+",2037
"1877","gene-YFR030W","NC_001138.5","213312","216419","+",3108
"1878","gene-YFR031C","NC_001138.5","216594","220106","-",3513
"1879","gene-YFR031C-A","NC_001138.5;NC_001138.5","220507;221415","221267;221418","-;-",765
"1880","gene-YFR032C","NC_001138.5","222090","222959","-",870
"1881","gene-YFR032C-A","NC_001138.5","223258","223437","-",180
"1882","gene-YFR032C-B","NC_001138.5","223710","223973","-",264
"1883","gene-YFR033C","NC_001138.5","224326","224769","-",444
"1884","gene-YFR034C","NC_001138.5","225020","225958","-",939
"1885","gene-YFR035C","NC_001138.5","226121","226465","-",345
"1886","gene-YFR036W","NC_001138.5","226963","227337","+",375
"1887","gene-YFR037C","NC_001138.5","227513","229186","-",1674
"1888","gene-YFR038W","NC_001138.5","229380","231941","+",2562
"1889","gene-YFR039C","NC_001138.5","232012","233544","-",1533
"1890","gene-YFR040W","NC_001138.5","234242","237250","+",3009
"1891","gene-YFR041C","NC_001138.5","237368","238255","-",888
"1892","gene-YFR042W","NC_001138.5","238458","239060","+",603
"1893","gene-YFR043C","NC_001138.5","239114","239827","-",714
"1894","gene-YFR044C","NC_001138.5","239992","241437","-",1446
"1895","gene-YFR045W","NC_001138.5;NC_001138.5","241998;242082","242009;242999","+;+",930
"1896","gene-YFR046C","NC_001138.5","243074","244159","-",1086
"1897","gene-YFR047C","NC_001138.5","244279","245166","-",888
"1898","gene-YFR048W","NC_001138.5","246146","248134","+",1989
"1899","gene-YFR049W","NC_001138.5","248523","248894","+",372
"1900","gene-YFR050C","NC_001138.5","249066","249866","-",801
"1901","gene-YFR051C","NC_001138.5","250163","251803","-",1641
"1902","gene-YFR052W","NC_001138.5","252505","253329","+",825
"1903","gene-YFR053C","NC_001138.5","253592","255049","-",1458
"1904","gene-YFR054C","NC_001138.5","258855","259433","-",579
"1905","gene-YFR055W","NC_001138.5","264204","265226","+",1023
"1906","gene-YFR057W","NC_001138.5","269061","269516","+",456
"1907","gene-YGL001C","NC_001139.9","495453","496502","-",1050
"1908","gene-YGL002W","NC_001139.9","494517","495167","+",651
"1909","gene-YGL003C","NC_001139.9","492474","494174","-",1701
"1910","gene-YGL004C","NC_001139.9","490703","491956","-",1254
"1911","gene-YGL005C","NC_001139.9","489708","490547","-",840
"1912","gene-YGL006W","NC_001139.9","485921","489442","+",3522
"1913","gene-YGL006W-A","NC_001139.9","485423","485533","+",111
"1914","gene-YGL007C-A","NC_001139.9","482941","483027","-",87
"1915","gene-YGL007W","NC_001139.9","483260","483637","+",378
"1916","gene-YGL008C","NC_001139.9","479910","482666","-",2757
"1917","gene-YGL009C","NC_001139.9","476313","478652","-",2340
"1918","gene-YGL010W","NC_001139.9","475545","476069","+",525
"1919","gene-YGL011C","NC_001139.9","474489","475247","-",759
"1920","gene-YGL012W","NC_001139.9","472855","474276","+",1422
"1921","gene-YGL013C","NC_001139.9","469092","472298","-",3207
"1922","gene-YGL014W","NC_001139.9","466141","468807","+",2667
"1923","gene-YGL015C","NC_001139.9","465043","465435","-",393
"1924","gene-YGL016W","NC_001139.9","461666","464911","+",3246
"1925","gene-YGL017W","NC_001139.9","459854","461365","+",1512
"1926","gene-YGL018C","NC_001139.9","459110","459664","-",555
"1927","gene-YGL019W","NC_001139.9","458156","458992","+",837
"1928","gene-YGL020C","NC_001139.9","457163","457870","-",708
"1929","gene-YGL021W","NC_001139.9","454785","457067","+",2283
"1930","gene-YGL022W","NC_001139.9","452404","454560","+",2157
"1931","gene-YGL023C","NC_001139.9","450197","452104","-",1908
"1932","gene-YGL025C","NC_001139.9","448764","449957","-",1194
"1933","gene-YGL026C","NC_001139.9","446412","448535","-",2124
"1934","gene-YGL027C","NC_001139.9","443642","446143","-",2502
"1935","gene-YGL028C","NC_001139.9","441281","442909","-",1629
"1936","gene-YGL029W","NC_001139.9","440063","440425","+",363
"1937","gene-YGL030W","NC_001139.9;NC_001139.9","439091;439324","439093;439638","+;+",318
"1938","gene-YGL031C","NC_001139.9","437467","437934","-",468
"1939","gene-YGL032C","NC_001139.9","436570","436833","-",264
"1940","gene-YGL033W","NC_001139.9;NC_001139.9;NC_001139.9","435625;435750;436375","435679;436312;436401","+;+;+",645
"1941","gene-YGL034C","NC_001139.9","433214","433579","-",366
"1942","gene-YGL035C","NC_001139.9","431548","433062","-",1515
"1943","gene-YGL036W","NC_001139.9","428601","431330","+",2730
"1944","gene-YGL037C","NC_001139.9","427297","427947","-",651
"1945","gene-YGL038C","NC_001139.9","425362","426804","-",1443
"1946","gene-YGL039W","NC_001139.9","423961","425007","+",1047
"1947","gene-YGL040C","NC_001139.9","419527","420555","-",1029
"1948","gene-YGL041C-B","NC_001139.9","418704","418886","-",183
"1949","gene-YGL041W-A","NC_001139.9","418825","419289","+",465
"1950","gene-YGL043W","NC_001139.9","417483","418412","+",930
"1951","gene-YGL044C","NC_001139.9","416146","417036","-",891
"1952","gene-YGL045W","NC_001139.9","414102","415730","+",1629
"1953","gene-YGL047W","NC_001139.9","411552","412160","+",609
"1954","gene-YGL048C","NC_001139.9","410069","411286","-",1218
"1955","gene-YGL049C","NC_001139.9","406860","409604","-",2745
"1956","gene-YGL050W","NC_001139.9","405776","406597","+",822
"1957","gene-YGL051W","NC_001139.9","403687","404391","+",705
"1958","gene-YGL053W","NC_001139.9","402589","403302","+",714
"1959","gene-YGL054C","NC_001139.9","400871","401287","-",417
"1960","gene-YGL055W","NC_001139.9","398628","400160","+",1533
"1961","gene-YGL056C","NC_001139.9","396035","397618","-",1584
"1962","gene-YGL057C","NC_001139.9","394966","395829","-",864
"1963","gene-YGL058W","NC_001139.9","393986","394504","+",519
"1964","gene-YGL059W","NC_001139.9","392223","393698","+",1476
"1965","gene-YGL060W","NC_001139.9","390065","391990","+",1926
"1966","gene-YGL061C","NC_001139.9","388968","389711","-",744
"1967","gene-YGL062W","NC_001139.9","385196","388732","+",3537
"1968","gene-YGL063W","NC_001139.9","383654","384766","+",1113
"1969","gene-YGL064C","NC_001139.9","381523","383208","-",1686
